ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
17664,0,1084,2.0999999046325684,13.199999809265137,18.65999984741211,11.270000457763672,-117.45833333333334,53.875
17665,0,191,24.700000762939453,13.300000190734863,6.679999828338623,12.479999542236328,-98.875,23.708333333333343
17666,0,92,16,12,5.840000152587891,12.569999694824219,-90.79166666666669,35.125
17667,0,14,25.200000762939453,11.800000190734863,1.5499999523162842,13.569999694824219,-87.70833333333336,21.125
17668,0,5,22.799999237060547,12,1.190000057220459,13.4399995803833,-82.0416666666667,26.958333333333343
17669,0,1126,9.5,16.200000762939453,6.210000038146973,14.1899995803833,-102.375,41.041666666666686
17670,0,397,6.599999904632568,11.600000381469727,2.799999952316284,13.149999618530273,-92.875,43.875
17671,0,167,17,13.600000381469727,9.369999885559082,11.760000228881836,-83.125,33.20833333333334
17672,0,1979,11.300000190734863,17.600000381469727,39.970001220703125,9.369999885559082,-108.45833333333334,32.625
17673,0,132,9,11.699999809265137,17.520000457763672,11.210000038146973,-72.0416666666667,41.70833333333336
17674,0,1608,9.100000381469727,16.899999618530273,37.79999923706055,10.550000190734863,-116.79166666666669,40.20833333333336
17675,0,31,17.5,12.199999809265137,0.8399999737739563,13.699999809265137,-90.79166666666669,33.125
17676,0,94,25.100000381469727,9.800000190734863,54.7400016784668,10.399999618530273,-72.2916666666667,19.708333333333343
17677,0,6,13.5,10.300000190734863,2.630000114440918,12.800000190734863,-75.2916666666667,38.125
17678,0,100,27.200000762939453,11.600000381469727,6.760000228881836,11.119999885559082,-91.45833333333336,14.375
17679,0,853,4.800000190734863,13.699999809265137,3.380000114440918,13.100000381469727,-111.29166666666669,49.70833333333336
17680,0,42,19.5,13.699999809265137,2.640000104904175,13.430000305175781,-82.2916666666667,30.875
17681,0,702,3.200000047683716,13.699999809265137,5.880000114440918,12.59000015258789,-110.29166666666669,51.04166666666669
17682,0,452,-0.5,10.899999618530273,18.81999969482422,10.90999984741211,-71.7916666666667,49.875
17683,0,203,-2.700000047683716,10.300000190734863,3.059999942779541,13.039999961853027,-93.20833333333336,54.54166666666669
17684,0,91,0.800000011920929,11.5,0.9900000095367432,14.460000038146973,-82.45833333333336,50.375
17685,0,620,-3.799999952316284,12.800000190734863,15.640000343322754,10.369999885559082,-146.20833333333334,62.0416666666667
17686,0,408,7.800000190734863,12.300000190734863,9.199999809265137,12.479999542236328,-95.29166666666669,42.875
17687,0,199,1.7999999523162842,8.100000381469727,137.72999572753906,8.010000228881836,-149.625,60.958333333333364
17688,0,94,17,13.199999809265137,4.960000038146973,12.600000381469727,-93.54166666666669,33.45833333333334
17689,0,216,14.300000190734863,12.899999618530273,7.840000152587891,11.880000114440918,-79.45833333333336,36.291666666666686
17690,0,495,14.399999618530273,14,51.380001068115234,9.65999984741211,-121.375,39.45833333333336
17691,0,1207,-1.7000000476837158,11,122.26000213623047,7.929999828338623,-124.875,57.208333333333364
17692,0,268,19,11.899999618530273,8.880000114440918,12.220000267028809,-97.70833333333336,31.125
17693,0,1256,17,19.100000381469727,47.47999954223633,9.59000015258789,-109.125,31.125
17694,0,18,19.700000762939453,13.300000190734863,2.759999990463257,13.5,-83.875,30.29166666666668
17695,0,215,10.399999618530273,11.800000190734863,3.430000066757202,13.119999885559082,-90.95833333333336,40.625
17696,0,296,16.700000762939453,14,5.989999771118164,12.289999961853027,-97.625,34.291666666666686
17697,0,397,14.399999618530273,13.899999618530273,6.019999980926514,13.5600004196167,-98.29166666666669,36.625
17698,0,1567,-3.5999999046325684,11.5,102.51000213623047,7.809999942779541,-129.70833333333334,58.2916666666667
17699,0,313,-0.4000000059604645,10.600000381469727,3.440000057220459,13.199999809265137,-102.375,54.625
